16893,¡Mucha+Lucha!,1
16894,¡Mucha+Lucha!,2
16895,¡Mucha+Lucha!,3
41600,100th+Anniversary+Special:+Avengers,1
41601,100th+Anniversary+Special:+Fantastic+Four,1
41602,100th+Anniversary+Special:+Guardians+of+the+Galaxy,1
41603,100th+Anniversary+Special:+Spider-Man,1
41604,100th+Anniversary+Special:+X-Men,1
42949,15-Love,1
42950,15-Love,2
42951,15-Love,3
38329,1602:+New+World,1
38330,1602:+New+World,2
38331,1602:+New+World,3
38332,1602:+New+World,4
38333,1602:+New+World,5
41786,1602:+Witch+Hunter+Angela,1
41787,1602:+Witch+Hunter+Angela,2
41788,1602:+Witch+Hunter+Angela,3
41789,1602:+Witch+Hunter+Angela,4
45026,1872,1
45027,1872,2
45028,1872,3
45029,1872,4
24770,2001:+A+Space+Odyssey+vol.+1,1
44141,411,1
44142,411,2
40256,5+Ronin,1
40257,5+Ronin,2
40258,5+Ronin,3
40259,5+Ronin,4
40260,5+Ronin,5
15,52,1
16,52,2
17,52,3
18,52,4
19,52,5
20,52,6
21,52,7
22,52,8
23,52,9
24,52,10
25,52,11
26,52,12
27,52,13
28,52,14
29,52,15
30,52,16
31,52,17
32,52,18
33,52,19
34,52,20
35,52,21
36,52,22
37,52,23
38,52,24
39,52,25
40,52,26
41,52,27
42,52,28
43,52,29
44,52,30
45,52,31
46,52,32
47,52,33
48,52,34
49,52,35
50,52,36
51,52,37
52,52,38
53,52,39
54,52,40
55,52,41
56,52,42
57,52,43
58,52,44
59,52,45
60,52,46
61,52,47
62,52,48
63,52,49
64,52,50
65,52,51
66,52,52
67,52+Aftermath:+The+Four+Horsemen,1
68,52+Aftermath:+The+Four+Horsemen,2
69,52+Aftermath:+The+Four+Horsemen,3
70,52+Aftermath:+The+Four+Horsemen,4
71,52+Aftermath:+The+Four+Horsemen,5
72,52+Aftermath:+The+Four+Horsemen,6
88,9-11:+September+11,+2001,1
89,9-11:+September+11,+2001,2
40774,A+X,1
40775,A+X,2
40776,A+X,3
40777,A+X,4
40778,A+X,5
40779,A+X,6
40780,A+X,7
40781,A+X,8
40782,A+X,9
40783,A+X,10
40784,A+X,11
40785,A+X,12
40786,A+X,13
40787,A+X,14
40788,A+X,15
40789,A+X,16
40790,A+X,17
40791,A+X,18
40792,A-Babies+vs.+X-Babies,1
43889,A-Force+vol.+1,1
43890,A-Force+vol.+1,2
43891,A-Force+vol.+1,3
43892,A-Force+vol.+1,4
43893,A-Force+vol.+1,5
44430,A-Force+vol.+2,1
44431,A-Force+vol.+2,2
44432,A-Force+vol.+2,3
44433,A-Force+vol.+2,4
44434,A-Force+vol.+2,5
44435,A-Force+vol.+2,6
44436,A-Force+vol.+2,7
44437,A-Force+vol.+2,8
44438,A-Force+vol.+2,9
44439,A-Force+vol.+2,10
25078,A1,1
25079,A1,2
25080,A1,3
25081,A1,4
22579,Abe+Sapien:+The+Drowning[2],1
22580,Abe+Sapien:+The+Drowning[2],2
22581,Abe+Sapien:+The+Drowning[2],3
22582,Abe+Sapien:+The+Drowning[2],4
22583,Abe+Sapien:+The+Drowning[2],5
43398,Adam:+Legend+of+the+Blue+Marvel,1
43399,Adam:+Legend+of+the+Blue+Marvel,2
43400,Adam:+Legend+of+the+Blue+Marvel,3
43401,Adam:+Legend+of+the+Blue+Marvel,4
43402,Adam:+Legend+of+the+Blue+Marvel,5
1510,Adventure+Comics+Special+Featuring+the+Guardian,1
25124,Adventures+of+Snake+Plissken,1
2072,Adventures+with+the+DC+Super-Heroes,1
22584,Æon+Flux,1
22585,Æon+Flux,2
22586,Æon+Flux,3
22587,Æon+Flux,4
40570,Age+of+Apocalypse+vol.+1,1
40571,Age+of+Apocalypse+vol.+1,2
40572,Age+of+Apocalypse+vol.+1,3
40573,Age+of+Apocalypse+vol.+1,4
40574,Age+of+Apocalypse+vol.+1,5
40575,Age+of+Apocalypse+vol.+1,6
40576,Age+of+Apocalypse+vol.+1,7
40577,Age+of+Apocalypse+vol.+1,8
40578,Age+of+Apocalypse+vol.+1,9
40579,Age+of+Apocalypse+vol.+1,10
40580,Age+of+Apocalypse+vol.+1,11
40581,Age+of+Apocalypse+vol.+1,12
40582,Age+of+Apocalypse+vol.+1,13
40583,Age+of+Apocalypse+vol.+1,14
41817,Age+of+Apocalypse+vol.+2,1
41818,Age+of+Apocalypse+vol.+2,2
41819,Age+of+Apocalypse+vol.+2,3
41820,Age+of+Apocalypse+vol.+2,4
41821,Age+of+Apocalypse+vol.+2,5
43896,Age+of+Heroes,1
43897,Age+of+Heroes,2
43898,Age+of+Heroes,3
43899,Age+of+Heroes,4
44682,Age+of+Ultron,1
44683,Age+of+Ultron,2
44684,Age+of+Ultron,3
44685,Age+of+Ultron,4
44686,Age+of+Ultron,5
44687,Age+of+Ultron,6
44688,Age+of+Ultron,7
44689,Age+of+Ultron,8
44690,Age+of+Ultron,9
44691,Age+of+Ultron,10
42952,Age+of+Ultron+vs.+Marvel+Zombies,1
42953,Age+of+Ultron+vs.+Marvel+Zombies,2
42954,Age+of+Ultron+vs.+Marvel+Zombies,3
42955,Age+of+Ultron+vs.+Marvel+Zombies,4
40235,Age+of+X+Alpha,1
44692,Age+of+X+Universe,1
44693,Age+of+X+Universe,2
25250,Agent+Carter:+S.H.I.E.L.D.+50th+Anniversary,1
37257,Agent+X,1
37258,Agent+X,2
37259,Agent+X,3
37260,Agent+X,4
37261,Agent+X,5
37262,Agent+X,6
37263,Agent+X,7
37264,Agent+X,8
37265,Agent+X,9
37266,Agent+X,10
37267,Agent+X,11
37268,Agent+X,12
37269,Agent+X,13
37270,Agent+X,14
37271,Agent+X,15
38656,Agents+of+Atlas+vol.+1,1
38657,Agents+of+Atlas+vol.+1,2
38658,Agents+of+Atlas+vol.+1,3
38659,Agents+of+Atlas+vol.+1,4
38660,Agents+of+Atlas+vol.+1,5
38661,Agents+of+Atlas+vol.+1,6
42769,Agents+of+Atlas+vol.+2,1
42770,Agents+of+Atlas+vol.+2,2
42771,Agents+of+Atlas+vol.+2,3
42772,Agents+of+Atlas+vol.+2,4
42773,Agents+of+Atlas+vol.+2,5
42774,Agents+of+Atlas+vol.+2,6
42775,Agents+of+Atlas+vol.+2,7
42776,Agents+of+Atlas+vol.+2,8
42777,Agents+of+Atlas+vol.+2,9
42778,Agents+of+Atlas+vol.+2,10
42779,Agents+of+Atlas+vol.+2,11
44443,Agents+of+S.H.I.E.L.D.,1
44444,Agents+of+S.H.I.E.L.D.,2
44445,Agents+of+S.H.I.E.L.D.,3
44446,Agents+of+S.H.I.E.L.D.,4
44447,Agents+of+S.H.I.E.L.D.,5
44448,Agents+of+S.H.I.E.L.D.,6
44449,Agents+of+S.H.I.E.L.D.,7
44450,Agents+of+S.H.I.E.L.D.,8
44451,Agents+of+S.H.I.E.L.D.,9
44452,Agents+of+S.H.I.E.L.D.,10
22597,Akira,1
22598,Akira,2
22599,Akira,3
22600,Akira,4
22601,Akira,5
22602,Akira,6
37121,Alias,1
37122,Alias,2
37123,Alias,3
37124,Alias,4
37125,Alias,5
37126,Alias,6
37127,Alias,7
37128,Alias,8
37129,Alias,9
37130,Alias,10
37131,Alias,11
37132,Alias,12
37133,Alias,13
37134,Alias,14
37135,Alias,15
37136,Alias,16
37137,Alias,17
37138,Alias,18
37139,Alias,19
37140,Alias,20
37141,Alias,21
37142,Alias,22
37143,Alias,23
37144,Alias,24
37145,Alias,25
37146,Alias,26
37147,Alias,27
37148,Alias,28
44143,All+New+Savage+She-Hulk,1
44144,All+New+Savage+She-Hulk,2
44145,All+New+Savage+She-Hulk,3
44146,All+New+Savage+She-Hulk,4
39701,All+Select+Comics+70th+Anniversary+Special,1
39751,All+Winners+Comics+70th+Anniversary+Special,1
43403,All-New+All-Different+Avengers,1
